"Date","symbol","buy_and_hold","sma20_50","rsi_mean_reversion"
"2022-08-01","ETHUSDT","53982.7814569538","229957.15565687","3321.12816079112"
"2022-08-02","ETHUSDT","54003.6423841061","230046.01953796","3321.12816079112"
"2022-08-03","ETHUSDT","53581.4569536425","228247.583849229","3321.12816079112"
"2022-08-04","ETHUSDT","53243.7086092716","226808.835298244","3321.12816079112"
"2022-08-05","ETHUSDT","57510.2649006624","244983.614787895","3321.12816079112"
"2022-08-06","ETHUSDT","55980.1324503312","238465.519636814","3321.12816079112"
"2022-08-07","ETHUSDT","56297.6821192054","239818.225382299","3321.12816079112"
"2022-08-08","ETHUSDT","58842.7152317882","250659.618875311","3321.12816079112"
"2022-08-09","ETHUSDT","56382.7814569538","240180.733595635","3321.12816079112"
"2022-08-10","ETHUSDT","61376.4900662253","261453.054083289","3321.12816079112"
"2022-08-11","ETHUSDT","62257.9470198677","265207.905693802","3321.12816079112"
"2022-08-12","ETHUSDT","64843.7086092717","276222.795335609","3321.12816079112"
"2022-08-13","ETHUSDT","65680.4635761591","279787.224343785","3321.12816079112"
"2022-08-14","ETHUSDT","64083.1125827816","272982.790020302","3321.12816079112"
"2022-08-15","ETHUSDT","62882.7814569538","267869.590513124","3321.12816079112"
"2022-08-16","ETHUSDT","62141.390728477","264711.396389932","3321.12816079112"
"2022-08-17","ETHUSDT","60736.7549668876","258727.895063188","3321.12816079112"
"2022-08-18","ETHUSDT","61138.7417218545","260440.287946419","3321.12816079112"
"2022-08-19","ETHUSDT","53278.4768211922","226956.941766728","3321.12816079112"
"2022-08-20","ETHUSDT","52186.7549668875","222306.398656337","3321.12816079112"
"2022-08-21","ETHUSDT","53580.4635761591","228243.352235844","3321.12816079112"
"2022-08-22","ETHUSDT","53796.688741722","229164.433416033","3321.12816079112"
"2022-08-23","ETHUSDT","55146.0264900664","234912.374930998","3321.12816079112"
"2022-08-24","ETHUSDT","54852.9801324505","233664.04898235","3321.12816079112"
"2022-08-25","ETHUSDT","56129.4701986756","239101.672182396","3321.12816079112"
"2022-08-26","ETHUSDT","49939.7350993379","212734.489178901","3321.12816079112"
"2022-08-27","ETHUSDT","49372.8476821193","210319.648473718","3321.12816079112"
"2022-08-28","ETHUSDT","47243.7086092716","201249.890451331","3321.12816079112"
"2022-08-29","ETHUSDT","51384.105960265","218887.255041055","3321.12816079112"
"2022-08-30","ETHUSDT","50483.1125827816","215049.181700633","3321.12816079112"
"2022-08-31","ETHUSDT","51460.2649006624","219211.678733924","3321.12816079112"
"2022-09-01","ETHUSDT","52521.8543046359","223733.862904962","3321.12816079112"
"2022-09-02","ETHUSDT","52163.9072847683","222209.071548477","3321.12816079112"
"2022-09-03","ETHUSDT","51571.5231788081","219685.619433072","3321.12816079112"
"2022-09-04","ETHUSDT","52294.0397350995","219575.776623356","3321.12816079112"
"2022-09-05","ETHUSDT","53569.5364238412","219575.776623356","3321.12816079112"
"2022-09-06","ETHUSDT","51622.8476821193","219575.776623356","3321.12816079112"
"2022-09-07","ETHUSDT","53973.509933775","219575.776623356","3321.12816079112"
"2022-09-08","ETHUSDT","54151.3245033114","219575.776623356","3321.12816079112"
"2022-09-09","ETHUSDT","56895.0331125829","219575.776623356","3321.12816079112"
"2022-09-10","ETHUSDT","58745.6953642385","219575.776623356","3321.12816079112"
